,Dataset,row,col,T2,T3,F1,N3,C1_clf,Model,Precision,Recall,Fbeta,Accuracy,complexity,Duration,E3,E5
359,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,gosdt,0.7741978609625668,0.6159188034188035,0.6095238095238096,0.6731601731601732,3.0,7.054832982081993,0.5699767245855452,0.6584334888993931
360,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,igann,0.7589285714285714,0.688301282051282,0.687037037037037,0.7218614718614718,0.0,0.0904072967230105,0.5699767245855452,0.6584334888993931
361,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,knn,0.6760416666666667,0.6623931623931624,0.6608832425892317,0.6818181818181818,0.0,0.08412489236569871,0.5699767245855452,0.6584334888993931
362,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,logistic_regression,0.8328431372549019,0.7841880341880342,0.7813664596273291,0.7954545454545454,0.0,0.48663272810917274,0.5699767245855452,0.6584334888993931
363,lupus,87,3,0.0344827586206896,0.0229885057471264,0.6333337371769041,0.3793103448275862,0.972279462096882,naive_bayes,0.7620955433455434,0.7542735042735043,0.7462863933452168,0.75,12.0,0.041954505677316706,0.5699767245855452,0.6584334888993931
364,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,decision_tree,0.8359948619697715,0.7968745392622298,0.8089372649583119,0.8362776025236593,63.0,0.5049688932942409,0.2647704707652376,0.3415195428244969
365,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,ebm,0.8686581365540469,0.8301988777009903,0.8444929194012628,0.8650893796004206,10432.0,3.570787558368608,0.2647704707652376,0.3415195428244969
366,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,gosdt,0.7957518636171383,0.7549076332317834,0.7668762121832553,0.7995793901156677,7.0,159.82596702201693,0.2647704707652376,0.3415195428244969
367,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,igann,0.8541544804336667,0.825012279874043,0.8361541328267821,0.8562565720294427,0.0,153.2791835373523,0.2647704707652376,0.3415195428244969
368,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,knn,0.8452759319866139,0.7867161929053754,0.8035920275918536,0.834279705573081,0.0,3.1094811102923225,0.2647704707652376,0.3415195428244969
369,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,logistic_regression,0.7832158432880691,0.7444161977164478,0.7568313288250387,0.792534174553102,0.0,3.5560992091309798,0.2647704707652376,0.3415195428244969
370,magic,19020,10,0.0005257623554153,0.0003680336487907,0.7874979989242568,0.1790746582544689,0.935515244546736,naive_bayes,0.7237927692821982,0.6464202809200633,0.6522405527243555,0.7277602523659306,40.0,0.010673272843454398,0.2647704707652376,0.3415195428244969
371,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,decision_tree,0.7772893891314944,0.7818705532547521,0.7810036390425312,0.8398791540785498,66.0,0.008030047603681974,0.2552363043293444,0.324109361113051
372,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,ebm,1.0,1.0,1.0,1.0,52.0,0.3708404442843269,0.2552363043293444,0.324109361113051
373,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,gosdt,0.7311605483338006,0.6637464160560689,0.6843985367062141,0.8126888217522659,7.0,0.27407124463249655,0.2552363043293444,0.324109361113051
374,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,igann,1.0,1.0,1.0,1.0,0.0,0.12750756740570068,0.2552363043293444,0.324109361113051
375,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,knn,0.9214806038020203,0.8905436975682276,0.9014599449824012,0.9350453172205436,0.0,0.018880629072002338,0.2552363043293444,0.324109361113051
376,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,logistic_regression,1.0,1.0,1.0,1.0,0.0,0.008576002775454053,0.2552363043293444,0.324109361113051
377,mofn_3_7_10,1324,10,0.0075528700906344,0.0075528700906344,0.9152604374651367,0.0883685800604229,0.7611592355158557,naive_bayes,0.9328859060402684,0.726027397260274,0.7753495316953984,0.879154078549849,40.0,0.0050749545003853595,0.2552363043293444,0.324109361113051
378,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,decision_tree,0.8491435035552682,0.831043956043956,0.8286195286195286,0.8304843304843305,17.0,0.08164301105574065,0.3898425710608681,0.5181055241287444
379,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,ebm,0.9049908424908426,0.903846153846154,0.9037606837606836,0.903846153846154,686.0,7.407833400894614,0.3898425710608681,0.5181055241287444
380,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,gosdt,0.8151515151515152,0.8076923076923077,0.806547619047619,0.8076923076923077,11.0,4.3615548844430965,0.3898425710608681,0.5181055241287444
381,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,igann,0.8869047619047619,0.8846153846153846,0.8844444444444444,0.8846153846153846,0.0,3.5036188761393228,0.3898425710608681,0.5181055241287444
382,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,knn,0.8420454545454545,0.8324175824175825,0.8295155993431855,0.8304843304843305,0.0,0.05135603278290992,0.3898425710608681,0.5181055241287444
383,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,logistic_regression,0.8869047619047619,0.8846153846153846,0.8844444444444444,0.8846153846153846,0.0,1.1196560322069655,0.3898425710608681,0.5181055241287444
384,molecular_biology_promoters,106,171,1.6132075471698113,0.6886792452830188,0.6353276353276353,0.2358490566037736,1.0,naive_bayes,0.8943014705882353,0.8708791208791209,0.8665292353823089,0.8682336182336182,684.0,0.06850977738698323,0.3898425710608681,0.5181055241287444
385,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,decision_tree,0.8437063953488372,0.8315217391304348,0.8301085449744499,0.8309352517985611,29.0,0.0575493714388679,0.4261156927806803,0.5355135505282033
386,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,ebm,1.0,1.0,1.0,1.0,56.0,0.4416017906338561,0.4261156927806803,0.5355135505282033
387,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,gosdt,1.0,1.0,1.0,1.0,15.0,1.5059528678071266,0.4261156927806803,0.5355135505282033
388,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,igann,0.8341423948220065,0.75175983436853,0.7354412597928746,0.7517985611510791,0.0,0.10244523543937534,0.4261156927806803,0.5355135505282033
389,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,knn,0.9173474265798314,0.9134057971014492,0.9134175822134544,0.9136690647482014,0.0,0.0783004643870335,0.4261156927806803,0.5355135505282033
390,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,logistic_regression,0.8120829614518253,0.7445652173913043,0.728876490674284,0.7446043165467626,0.0,0.6120605538873112,0.4261156927806803,0.5355135505282033
391,monk1,556,11,0.0197841726618705,0.0179856115107913,0.6730310262529844,0.1258992805755395,1.0,naive_bayes,0.8341346153846154,0.7518115942028986,0.7355072880411728,0.7517985611510791,44.0,0.027759112563787724,0.4261156927806803,0.5355135505282033
392,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,decision_tree,0.4565818521877974,0.4721843865751429,0.4433829011973285,0.5833333333333334,34.0,0.07066572881212421,0.5072782311249425,0.4976519678339392
393,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,ebm,0.3771264367816092,0.492275698158051,0.4003878511704899,0.6433333333333333,54.0,1.0625577019710166,0.5072782311249425,0.4976519678339392
394,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,gosdt,0.828907284768212,0.5,0.3967951807228915,0.6578145695364239,1.0,1.671859117115245,0.5072782311249425,0.4976519678339392
395,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,igann,0.5765785176449243,0.4898989898989899,0.3918775510204081,0.6444812362030905,0.0,104.43048325473187,0.5072782311249425,0.4976519678339392
396,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,knn,0.6198822218946058,0.5516901982238117,0.5263190915364828,0.6699999999999999,0.0,0.09477264039656695,0.5072782311249425,0.4976519678339392
397,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,logistic_regression,0.5771725908906609,0.4924242424242424,0.3931219512195122,0.6478145695364239,0.0,0.814420601900886,0.5072782311249425,0.4976519678339392
398,monk2,601,11,0.0183028286189683,0.016638935108153,0.9964994310157071,0.2695507487520798,0.9274373177990278,naive_bayes,0.676119525082642,0.5,0.3967951807228915,0.6478145695364239,44.0,0.0459668332455205,0.5072782311249425,0.4976519678339392
399,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,decision_tree,0.9898185857089966,0.9886928991406604,0.9891253514404448,0.9891565008862476,30.0,0.10514407064400468,0.5453417498265831,0.7452909159745671
400,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,ebm,0.9898185857089966,0.9886928991406604,0.9891253514404448,0.9891565008862476,48.0,0.9877151928695977,0.5453417498265831,0.7452909159745671
401,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,gosdt,0.9898185857089966,0.9886928991406604,0.9891253514404448,0.9891565008862476,21.0,2.7046280655206414,0.5453417498265831,0.7452909159745671
402,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,igann,0.9898185857089966,0.9886928991406604,0.9891253514404448,0.9891565008862476,0.0,108.73315277286605,0.5453417498265831,0.7452909159745671
403,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,knn,0.8962118393037992,0.8943351424694708,0.894619050271718,0.894927536231884,0.0,0.14382181448094986,0.5453417498265831,0.7452909159745671
404,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,logistic_regression,0.9898185857089966,0.9886928991406604,0.9891253514404448,0.9891565008862476,0.0,1.9893485868678373,0.5453417498265831,0.7452909159745671
405,monk3,554,11,0.01985559566787,0.0180505415162454,0.8952374134248178,0.1624548736462094,0.9988621511417832,naive_bayes,0.9013347539713288,0.8733934494195689,0.8748010931092531,0.8776978417266187,44.0,0.05728039087033739,0.5453417498265831,0.7452909159745671
406,mushroom,8124,85,0.0104628261939931,0.0039389463318562,0.3829007932600686,0.0,0.9990678968724604,decision_tree,0.9770030666086336,0.9755842269406588,0.9760617126227398,0.9761201378631216,17.0,0.20594117454454008,0.0,0.0
407,mushroom,8124,85,0.0104628261939931,0.0039389463318562,0.3829007932600686,0.0,0.9990678968724604,ebm,1.0,1.0,1.0,1.0,350.0,4.926572481791179,0.0,0.0
408,mushroom,8124,85,0.0104628261939931,0.0039389463318562,0.3829007932600686,0.0,0.9990678968724604,gosdt,0.9861384447177806,0.9846782431052092,0.985190750182292,0.9852289512555392,9.0,27.240812537716884,0.0,0.0
409,mushroom,8124,85,0.0104628261939931,0.0039389463318562,0.3829007932600686,0.0,0.9990678968724604,igann,1.0,1.0,1.0,1.0,0.0,108.83878321507397,0.0,0.0
410,mushroom,8124,85,0.0104628261939931,0.0039389463318562,0.3829007932600686,0.0,0.9990678968724604,knn,1.0,1.0,1.0,1.0,0.0,6.462054981904871,0.0,0.0
411,mushroom,8124,85,0.0104628261939931,0.0039389463318562,0.3829007932600686,0.0,0.9990678968724604,logistic_regression,1.0,1.0,1.0,1.0,0.0,3.9293334998336493,0.0,0.0
